Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
148,2,2.000,595775,595775,893931,744853,893931,893931,893931,893931,893931
149,1,1.000,718283,718283,718283,718283,718283,718283,718283,718283,718283
150,2,2.000,186289,186289,769309,477799,769309,769309,769309,769309,769309
151,4,4.000,84298,86625,526774,315166,562967,562967,562967,562967,562967
152,1,1.000,843913,843913,843913,843913,843913,843913,843913,843913,843913
153,2,2.000,314598,314598,479929,397263,479929,479929,479929,479929,479929
154,2,2.000,850689,850689,1041896,946292,1041896,1041896,1041896,1041896,1041896
155,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,1,1.000,1067997,1067997,1067997,1067997,1067997,1067997,1067997,1067997,1067997
157,2,2.000,497951,497951,684167,591059,684167,684167,684167,684167,684167
158,1,1.000,889742,889742,889742,889742,889742,889742,889742,889742,889742
159,3,3.000,142465,142465,188459,439291,986950,986950,986950,986950,986950
160,1,1.000,1374808,1374808,1374808,1374808,1374808,1374808,1374808,1374808,1374808
161,1,1.000,159959,159959,159959,159959,159959,159959,159959,159959,159959
162,3,3.000,162379,162379,189781,375264,773632,773632,773632,773632,773632
163,2,2.000,160014,160014,1025422,592718,1025422,1025422,1025422,1025422,1025422
164,2,2.000,87884,87884,930921,509402,930921,930921,930921,930921,930921
165,1,1.000,881746,881746,881746,881746,881746,881746,881746,881746,881746
166,2,2.000,193244,193244,761401,477322,761401,761401,761401,761401,761401
167,1,1.000,931449,931449,931449,931449,931449,931449,931449,931449,931449
168,2,2.000,835053,835053,975120,905086,975120,975120,975120,975120,975120
169,1,1.000,483262,483262,483262,483262,483262,483262,483262,483262,483262
170,1,1.000,760684,760684,760684,760684,760684,760684,760684,760684,760684
171,3,3.000,166086,166086,174492,320642,621348,621348,621348,621348,621348
172,1,1.000,898065,898065,898065,898065,898065,898065,898065,898065,898065
173,2,2.000,204759,204759,1010562,607660,1010562,1010562,1010562,1010562,1010562
174,1,1.000,983617,983617,983617,983617,983617,983617,983617,983617,983617
175,3,3.000,164629,164629,464701,375827,498153,498153,498153,498153,498153
176,2,2.000,163162,163162,1011325,587243,1011325,1011325,1011325,1011325,1011325
177,4,4.000,87176,158634,160869,142198,162115,162115,162115,162115,162115
178,3,3.000,159398,159398,670652,724419,1343208,1343208,1343208,1343208,1343208
179,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,2,2.000,160590,160590,918499,539544,918499,918499,918499,918499,918499
181,1,1.000,1350268,1350268,1350268,1350268,1350268,1350268,1350268,1350268,1350268
182,1,1.000,872771,872771,872771,872771,872771,872771,872771,872771,872771
183,1,1.000,761628,761628,761628,761628,761628,761628,761628,761628,761628
184,2,2.000,164147,164147,1330020,747083,1330020,1330020,1330020,1330020,1330020
185,2,2.000,71959,71959,158592,115275,158592,158592,158592,158592,158592
186,3,3.000,163028,163028,518764,468284,723062,723062,723062,723062,723062
187,2,2.000,184294,184294,453394,318844,453394,453394,453394,453394,453394
188,2,2.000,157706,157706,779489,468597,779489,779489,779489,779489,779489
189,4,4.000,157474,158069,159550,366722,991796,991796,991796,991796,991796
190,1,1.000,815048,815048,815048,815048,815048,815048,815048,815048,815048
191,5,5.000,92407,159499,161114,152881,162502,188884,188884,188884,188884
192,2,2.000,872504,872504,1325513,1099008,1325513,1325513,1325513,1325513,1325513
193,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
194,1,1.000,798073,798073,798073,798073,798073,798073,798073,798073,798073
195,2,2.000,441371,441371,762899,602135,762899,762899,762899,762899,762899
196,2,2.000,157774,157774,1335877,746825,1335877,1335877,1335877,1335877,1335877
197,1,1.000,494792,494792,494792,494792,494792,494792,494792,494792,494792
198,3,3.000,159305,159305,160634,330236,670770,670770,670770,670770,670770
199,2,2.000,158341,158341,600090,379215,600090,600090,600090,600090,600090
200,2,2.000,159387,159387,847310,503348,847310,847310,847310,847310,847310
201,3,3.000,159672,159672,161268,369204,786672,786672,786672,786672,786672
202,2,2.000,158859,158859,842080,500469,842080,842080,842080,842080,842080
203,2,2.000,494871,494871,835549,665210,835549,835549,835549,835549,835549
204,1,1.000,601095,601095,601095,601095,601095,601095,601095,601095,601095
205,4,4.000,84054,158625,159200,443074,1370419,1370419,1370419,1370419,1370419
206,1,1.000,163690,163690,163690,163690,163690,163690,163690,163690,163690
207,2,2.000,186774,186774,811847,499310,811847,811847,811847,811847,811847
208,2,2.000,592152,592152,930607,761379,930607,930607,930607,930607,930607
209,1,1.000,848867,848867,848867,848867,848867,848867,848867,848867,848867
210,3,3.000,159567,159567,160270,329239,667881,667881,667881,667881,667881
211,1,1.000,880684,880684,880684,880684,880684,880684,880684,880684,880684
212,2,2.000,159759,159759,674787,417273,674787,674787,674787,674787,674787
213,2,2.000,157597,157597,866358,511977,866358,866358,866358,866358,866358
214,3,3.000,69511,69511,158324,528932,1358961,1358961,1358961,1358961,1358961
215,1,1.000,705860,705860,705860,705860,705860,705860,705860,705860,705860
216,1,1.000,887559,887559,887559,887559,887559,887559,887559,887559,887559
217,3,3.000,158167,158167,442273,521587,964321,964321,964321,964321,964321
218,1,1.000,165479,165479,165479,165479,165479,165479,165479,165479,165479
219,3,3.000,158291,158291,163690,362158,764495,764495,764495,764495,764495
220,2,2.000,444624,444624,512724,478674,512724,512724,512724,512724,512724
221,3,3.000,86757,86757,549323,449896,713608,713608,713608,713608,713608
222,2,2.000,76663,76663,559758,318210,559758,559758,559758,559758,559758
223,2,2.000,513270,513270,987776,750523,987776,987776,987776,987776,987776
224,3,3.000,158281,158281,159878,159505,160356,160356,160356,160356,160356
225,2,2.000,707417,707417,931468,819442,931468,931468,931468,931468,931468
226,1,1.000,1365140,1365140,1365140,1365140,1365140,1365140,1365140,1365140,1365140
227,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,4,4.000,146103,162019,658371,406846,660891,660891,660891,660891,660891
229,3,3.000,159573,159573,159687,167250,182490,182490,182490,182490,182490
230,1,1.000,1029026,1029026,1029026,1029026,1029026,1029026,1029026,1029026,1029026
231,3,3.000,198916,198916,495469,477173,737134,737134,737134,737134,737134
232,1,1.000,677381,677381,677381,677381,677381,677381,677381,677381,677381
233,4,4.000,91477,94045,202993,280940,735246,735246,735246,735246,735246
234,2,2.000,164583,164583,918260,541421,918260,918260,918260,918260,918260
235,3,3.000,168551,168551,179147,440711,974435,974435,974435,974435,974435
236,1,1.000,686566,686566,686566,686566,686566,686566,686566,686566,686566
237,1,1.000,780055,780055,780055,780055,780055,780055,780055,780055,780055
238,2,2.000,165653,165653,643609,404631,643609,643609,643609,643609,643609
239,1,1.000,924216,924216,924216,924216,924216,924216,924216,924216,924216
240,1,1.000,1354371,1354371,1354371,1354371,1354371,1354371,1354371,1354371,1354371
241,3,3.000,160468,160468,187081,270851,465005,465005,465005,465005,465005
242,3,3.000,167456,167456,575827,489844,726250,726250,726250,726250,726250
243,1,1.000,463165,463165,463165,463165,463165,463165,463165,463165,463165
244,2,2.000,161924,161924,1341128,751526,1341128,1341128,1341128,1341128,1341128
245,1,1.000,949620,949620,949620,949620,949620,949620,949620,949620,949620
246,1,1.000,748698,748698,748698,748698,748698,748698,748698,748698,748698
247,6,6.000,71991,86404,159561,135726,164965,172083,172083,172083,172083
248,3,3.000,160271,160271,163407,417577,929054,929054,929054,929054,929054
249,3,3.000,158872,158872,159321,436304,990721,990721,990721,990721,990721
250,1,1.000,763515,763515,763515,763515,763515,763515,763515,763515,763515
251,1,1.000,919833,919833,919833,919833,919833,919833,919833,919833,919833
252,1,1.000,751434,751434,751434,751434,751434,751434,751434,751434,751434
253,2,2.000,163195,163195,849515,506355,849515,849515,849515,849515,849515
254,2,2.000,444861,444861,912643,678752,912643,912643,912643,912643,912643
255,2,2.000,160355,160355,922281,541318,922281,922281,922281,922281,922281
256,3,3.000,158358,158358,160148,159650,160446,160446,160446,160446,160446
257,4,4.000,86071,162417,445576,295325,487237,487237,487237,487237,487237
258,1,1.000,834080,834080,834080,834080,834080,834080,834080,834080,834080
259,6,6.000,156455,158896,161227,163823,161512,185147,185147,185147,185147
260,5,5.000,71401,161865,191255,344287,445444,851473,851473,851473,851473
261,1,1.000,930647,930647,930647,930647,930647,930647,930647,930647,930647
262,1,1.000,876736,876736,876736,876736,876736,876736,876736,876736,876736
263,2,2.000,187988,187988,602203,395095,602203,602203,602203,602203,602203
264,1,1.000,767063,767063,767063,767063,767063,767063,767063,767063,767063
265,6,6.000,160594,161435,162356,208790,164615,442194,442194,442194,442194
266,2,2.000,191410,191410,604980,398195,604980,604980,604980,604980,604980
267,3,3.000,160930,160930,163067,364235,768709,768709,768709,768709,768709
268,5,5.000,71657,159116,159472,143410,159638,167168,167168,167168,167168
269,6,6.000,157564,160087,161716,168864,185845,187409,187409,187409,187409
270,4,4.000,159770,160879,185140,370382,975739,975739,975739,975739,975739
271,2,2.000,161760,161760,574472,368116,574472,574472,574472,574472,574472
272,1,1.000,790319,790319,790319,790319,790319,790319,790319,790319,790319
273,3,3.000,69585,69585,774701,590233,926413,926413,926413,926413,926413
274,1,1.000,521364,521364,521364,521364,521364,521364,521364,521364,521364
275,2,2.000,159599,159599,923213,541406,923213,923213,923213,923213,923213
276,3,3.000,159792,159792,189085,444745,985358,985358,985358,985358,985358
277,1,1.000,617931,617931,617931,617931,617931,617931,617931,617931,617931
278,3,3.000,158316,158316,163317,294018,560423,560423,560423,560423,560423
279,1,1.000,1049635,1049635,1049635,1049635,1049635,1049635,1049635,1049635,1049635
280,3,3.000,159895,159895,161721,347160,719865,719865,719865,719865,719865
281,3,3.000,85940,85940,162925,248966,498033,498033,498033,498033,498033
282,2,2.000,160398,160398,797846,479122,797846,797846,797846,797846,797846
283,2,2.000,187578,187578,888449,538013,888449,888449,888449,888449,888449
284,3,3.000,161359,161359,161967,316595,626461,626461,626461,626461,626461
285,4,4.000,159452,159902,160993,272050,607854,607854,607854,607854,607854
286,5,5.000,68987,86717,163486,200335,189447,493038,493038,493038,493038
287,3,3.000,158888,158888,163888,344659,711202,711202,711202,711202,711202
288,2,2.000,506306,506306,897954,702130,897954,897954,897954,897954,897954
289,1,1.000,985710,985710,985710,985710,985710,985710,985710,985710,985710
290,4,4.000,88517,161948,162421,145071,167399,167399,167399,167399,167399
291,2,2.000,169241,169241,957756,563498,957756,957756,957756,957756,957756
292,4,4.000,163604,166087,166483,242515,473888,473888,473888,473888,473888
293,1,1.000,1017491,1017491,1017491,1017491,1017491,1017491,1017491,1017491,1017491
294,4,4.000,91379,91688,166846,357840,1081450,1081450,1081450,1081450,1081450
295,2,2.000,168919,168919,541827,355373,541827,541827,541827,541827,541827
