Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1714114557.729109,160274,0,1
2,Payment,1714114557.889412,160561,0,1
3,OrderStatus,1714114558.050001,89543,0,1
2,Payment,1714114558.139572,160876,0,1
2,Payment,1714114558.300476,160583,0,1
2,Payment,1714114558.461088,161414,0,1
3,OrderStatus,1714114558.622529,87406,0,1
2,Payment,1714114558.709964,161365,0,1
2,Payment,1714114558.871357,159381,0,1
1,NewOrder,1714114559.030766,821594,0,1
2,Payment,1714114559.852397,160314,0,1
2,Payment,1714114560.012740,197229,0,1
1,NewOrder,1714114560.209997,823711,0,1
1,NewOrder,1714114561.033735,983696,0,1
1,NewOrder,1714114562.017460,556830,0,1
2,Payment,1714114562.574318,160046,0,1
1,NewOrder,1714114562.734392,1036827,0,1
2,Payment,1714114563.771247,171789,0,1
3,OrderStatus,1714114563.943065,93020,0,1
1,NewOrder,1714114564.036112,802207,0,1
2,Payment,1714114564.838348,161740,0,1
2,Payment,1714114565.000116,161441,0,1
1,NewOrder,1714114565.161585,972806,0,1
1,NewOrder,1714114566.134419,792221,0,1
1,NewOrder,1714114566.926669,660633,0,1
1,NewOrder,1714114567.587331,994806,0,1
3,OrderStatus,1714114568.582165,88811,0,1
1,NewOrder,1714114568.671004,717420,0,1
2,Payment,1714114569.388452,168844,0,1
4,Delivery,1714114569.557324,1337098,0,1
1,NewOrder,1714114570.894450,798912,0,1
2,Payment,1714114571.693390,160693,0,1
3,OrderStatus,1714114571.854111,87471,0,1
2,Payment,1714114571.941609,162772,0,1
1,NewOrder,1714114572.104409,712604,0,1
1,NewOrder,1714114572.817041,710861,0,1
1,NewOrder,1714114573.527931,717906,0,1
2,Payment,1714114574.245865,193818,0,1
2,Payment,1714114574.439711,160063,0,1
4,Delivery,1714114574.599802,1346580,0,1
5,StockLevel,1714114575.946411,72902,0,1
2,Payment,1714114576.019340,168985,0,1
1,NewOrder,1714114576.188353,581045,0,1
1,NewOrder,1714114576.769429,906765,0,1
1,NewOrder,1714114577.676222,966164,0,1
2,Payment,1714114578.642415,167076,0,1
1,NewOrder,1714114578.809540,487763,0,1
1,NewOrder,1714114579.297371,1010149,0,1
1,NewOrder,1714114580.307547,902019,0,1
2,Payment,1714114581.209595,165678,0,1
1,NewOrder,1714114581.375300,568939,0,1
2,Payment,1714114581.944265,163951,0,1
1,NewOrder,1714114582.108259,823755,0,1
5,StockLevel,1714114582.932043,73054,0,1
1,NewOrder,1714114583.005122,154521,0,1
1,NewOrder,1714114583.159666,644878,0,1
2,Payment,1714114583.804570,164756,0,1
3,OrderStatus,1714114583.969354,89254,0,1
2,Payment,1714114584.058634,164949,0,1
2,Payment,1714114584.223609,162827,0,1
1,NewOrder,1714114584.386463,920084,0,1
5,StockLevel,1714114585.306573,68836,0,1
1,NewOrder,1714114585.375436,755107,0,1
2,Payment,1714114586.130569,206200,0,1
2,Payment,1714114586.336834,419005,0,1
2,Payment,1714114586.755943,160629,0,1
2,Payment,1714114586.916624,160125,0,1
2,Payment,1714114587.076761,184754,0,1
2,Payment,1714114587.261527,158275,0,1
1,NewOrder,1714114587.419814,921685,0,1
1,NewOrder,1714114588.341511,914787,0,1
2,Payment,1714114589.256311,187825,0,1
1,NewOrder,1714114589.444148,603658,0,1
2,Payment,1714114590.047818,159236,0,1
1,NewOrder,1714114590.207066,495427,0,1
2,Payment,1714114590.702505,158344,0,1
1,NewOrder,1714114590.860862,705583,0,1
1,NewOrder,1714114591.566457,493594,0,1
4,Delivery,1714114592.060062,1341364,0,1
1,NewOrder,1714114593.401438,881981,0,1
4,Delivery,1714114594.283432,1331160,0,1
2,Payment,1714114595.614603,195781,0,1
2,Payment,1714114595.810398,159809,0,1
1,NewOrder,1714114595.970220,765300,0,1
1,NewOrder,1714114596.735532,435312,0,1
2,Payment,1714114597.170856,165700,0,1
1,NewOrder,1714114597.336568,834224,0,1
1,NewOrder,1714114598.170807,799530,0,1
1,NewOrder,1714114598.970349,602976,0,1
1,NewOrder,1714114599.573337,981799,0,1
2,Payment,1714114600.555153,158596,0,1
2,Payment,1714114600.713760,189122,0,1
1,NewOrder,1714114600.902894,811434,0,1
1,NewOrder,1714114601.714340,476780,0,1
1,NewOrder,1714114602.191132,844033,0,1
1,NewOrder,1714114603.035178,551072,0,1
1,NewOrder,1714114603.586261,720976,0,1
3,OrderStatus,1714114604.307250,87378,0,1
1,NewOrder,1714114604.394640,473621,0,1
1,NewOrder,1714114604.868274,499904,0,1
2,Payment,1714114605.368190,157988,0,1
2,Payment,1714114605.526190,188385,0,1
2,Payment,1714114605.714587,159709,0,1
2,Payment,1714114605.874308,158239,0,1
2,Payment,1714114606.032559,160295,0,1
3,OrderStatus,1714114606.192870,86167,0,1
2,Payment,1714114606.279050,156824,0,1
2,Payment,1714114606.435886,157424,0,1
2,Payment,1714114606.593321,159889,0,1
2,Payment,1714114606.753222,157995,0,1
2,Payment,1714114606.911230,159444,0,1
2,Payment,1714114607.070686,157757,0,1
2,Payment,1714114607.228456,161383,0,1
1,NewOrder,1714114607.389851,629611,0,1
3,OrderStatus,1714114608.019474,88214,0,1
1,NewOrder,1714114608.107699,543569,0,1
2,Payment,1714114608.651280,158240,0,1
3,OrderStatus,1714114608.809532,85801,0,1
2,Payment,1714114608.895347,183535,0,1
1,NewOrder,1714114609.078894,710240,0,1
1,NewOrder,1714114609.789146,915395,0,1
2,Payment,1714114610.704554,158794,0,1
2,Payment,1714114610.863360,176931,0,1
2,Payment,1714114611.040303,158913,0,1
5,StockLevel,1714114611.199228,68176,0,1
2,Payment,1714114611.267417,157333,0,1
2,Payment,1714114611.424762,158085,0,1
2,Payment,1714114611.582859,160772,0,1
1,NewOrder,1714114611.743642,912149,0,1
5,StockLevel,1714114612.655803,70707,0,1
2,Payment,1714114612.726523,157651,0,1
2,Payment,1714114612.884186,157736,0,1
2,Payment,1714114613.041934,166333,0,1
2,Payment,1714114613.208279,157775,0,1
1,NewOrder,1714114613.366066,626657,0,1
2,Payment,1714114613.992736,159089,0,1
1,NewOrder,1714114614.151837,922391,0,1
2,Payment,1714114615.074240,159508,0,1
2,Payment,1714114615.233761,159245,0,1
1,NewOrder,1714114615.393019,602975,0,1
3,OrderStatus,1714114615.996006,94775,0,1
2,Payment,1714114616.090793,160138,0,1
1,NewOrder,1714114616.250943,893931,0,1
1,NewOrder,1714114617.144887,595775,0,1
1,NewOrder,1714114617.740674,718283,0,1
2,Payment,1714114618.458969,186289,0,1
1,NewOrder,1714114618.645270,769309,0,1
3,OrderStatus,1714114619.414591,86625,0,1
3,OrderStatus,1714114619.501229,84298,0,1
1,NewOrder,1714114619.585540,526774,0,1
1,NewOrder,1714114620.112325,562967,0,1
1,NewOrder,1714114620.675304,843913,0,1
2,Payment,1714114621.519230,314598,0,1
2,Payment,1714114621.833840,479929,0,1
1,NewOrder,1714114622.313781,850689,0,1
1,NewOrder,1714114623.164483,1041896,0,1
1,NewOrder,1714114624.206391,1067997,0,1
2,Payment,1714114625.274400,497951,0,1
1,NewOrder,1714114625.772364,684167,0,1
1,NewOrder,1714114626.456543,889742,0,1
2,Payment,1714114627.346298,188459,0,1
1,NewOrder,1714114627.534770,142465,0,1
1,NewOrder,1714114627.677246,986950,0,1
4,Delivery,1714114628.664209,1374808,0,1
2,Payment,1714114630.039029,159959,0,1
2,Payment,1714114630.198999,162379,0,1
2,Payment,1714114630.361391,189781,0,1
1,NewOrder,1714114630.551184,773632,0,1
2,Payment,1714114631.324828,160014,0,1
1,NewOrder,1714114631.484854,1025422,0,1
3,OrderStatus,1714114632.510293,87884,0,1
1,NewOrder,1714114632.598188,930921,0,1
1,NewOrder,1714114633.529120,881746,0,1
1,NewOrder,1714114634.410878,761401,0,1
2,Payment,1714114635.172291,193244,0,1
1,NewOrder,1714114635.365547,931449,0,1
1,NewOrder,1714114636.297008,835053,0,1
1,NewOrder,1714114637.132073,975120,0,1
1,NewOrder,1714114638.107204,483262,0,1
1,NewOrder,1714114638.590478,760684,0,1
2,Payment,1714114639.351173,166086,0,1
1,NewOrder,1714114639.517270,621348,0,1
2,Payment,1714114640.138630,174492,0,1
1,NewOrder,1714114640.313133,898065,0,1
2,Payment,1714114641.211210,204759,0,1
1,NewOrder,1714114641.415979,1010562,0,1
1,NewOrder,1714114642.426553,983617,0,1
1,NewOrder,1714114643.410181,464701,0,1
2,Payment,1714114643.874894,164629,0,1
1,NewOrder,1714114644.039534,498153,0,1
2,Payment,1714114644.537699,163162,0,1
1,NewOrder,1714114644.700872,1011325,0,1
2,Payment,1714114645.712210,158634,0,1
3,OrderStatus,1714114645.870856,87176,0,1
2,Payment,1714114645.958046,160869,0,1
2,Payment,1714114646.118930,162115,0,1
2,Payment,1714114646.281061,159398,0,1
1,NewOrder,1714114646.440474,670652,0,1
4,Delivery,1714114647.111142,1343208,0,1
2,Payment,1714114648.454365,160590,0,1
1,NewOrder,1714114648.614970,918499,0,1
4,Delivery,1714114649.533485,1350268,0,1
1,NewOrder,1714114650.883768,872771,0,1
1,NewOrder,1714114651.756555,761628,0,1
2,Payment,1714114652.518198,164147,0,1
4,Delivery,1714114652.682361,1330020,0,1
2,Payment,1714114654.012397,158592,0,1
5,StockLevel,1714114654.171004,71959,0,1
2,Payment,1714114654.242978,163028,0,1
1,NewOrder,1714114654.406021,518764,0,1
1,NewOrder,1714114654.924800,723062,0,1
1,NewOrder,1714114655.647878,453394,0,1
2,Payment,1714114656.101287,184294,0,1
2,Payment,1714114656.285596,157706,0,1
1,NewOrder,1714114656.443317,779489,0,1
2,Payment,1714114657.222822,159550,0,1
2,Payment,1714114657.382387,158069,0,1
2,Payment,1714114657.540472,157474,0,1
1,NewOrder,1714114657.697961,991796,0,1
1,NewOrder,1714114658.689772,815048,0,1
5,StockLevel,1714114659.504836,92407,0,1
2,Payment,1714114659.597258,159499,0,1
2,Payment,1714114659.756773,162502,0,1
2,Payment,1714114659.919290,161114,0,1
2,Payment,1714114660.080419,188884,0,1
1,NewOrder,1714114660.269318,872504,0,1
4,Delivery,1714114661.141838,1325513,0,1
1,NewOrder,1714114662.467367,798073,0,1
1,NewOrder,1714114663.265456,441371,0,1
1,NewOrder,1714114663.706843,762899,0,1
2,Payment,1714114664.469755,157774,0,1
4,Delivery,1714114664.627541,1335877,0,1
1,NewOrder,1714114665.963431,494792,0,1
2,Payment,1714114666.458236,160634,0,1
2,Payment,1714114666.618883,159305,0,1
1,NewOrder,1714114666.778201,670770,0,1
2,Payment,1714114667.448984,158341,0,1
1,NewOrder,1714114667.607338,600090,0,1
2,Payment,1714114668.207441,159387,0,1
1,NewOrder,1714114668.366841,847310,0,1
1,NewOrder,1714114669.214164,786672,0,1
2,Payment,1714114670.000849,159672,0,1
2,Payment,1714114670.160534,161268,0,1
2,Payment,1714114670.321815,158859,0,1
1,NewOrder,1714114670.480687,842080,0,1
1,NewOrder,1714114671.322780,835549,0,1
1,NewOrder,1714114672.158342,494871,0,1
1,NewOrder,1714114672.653227,601095,0,1
2,Payment,1714114673.254334,159200,0,1
2,Payment,1714114673.413547,158625,0,1
3,OrderStatus,1714114673.572185,84054,0,1
4,Delivery,1714114673.656253,1370419,0,1
2,Payment,1714114675.026685,163690,0,1
1,NewOrder,1714114675.190388,811847,0,1
2,Payment,1714114676.002248,186774,0,1
1,NewOrder,1714114676.189035,592152,0,1
1,NewOrder,1714114676.781200,930607,0,1
1,NewOrder,1714114677.711820,848867,0,1
2,Payment,1714114678.560700,160270,0,1
2,Payment,1714114678.720984,159567,0,1
1,NewOrder,1714114678.880563,667881,0,1
1,NewOrder,1714114679.548457,880684,0,1
2,Payment,1714114680.429154,159759,0,1
1,NewOrder,1714114680.588926,674787,0,1
2,Payment,1714114681.263725,157597,0,1
1,NewOrder,1714114681.421335,866358,0,1
2,Payment,1714114682.287706,158324,0,1
5,StockLevel,1714114682.446042,69511,0,1
4,Delivery,1714114682.515566,1358961,0,1
1,NewOrder,1714114683.874538,705860,0,1
1,NewOrder,1714114684.580412,887559,0,1
2,Payment,1714114685.467983,158167,0,1
1,NewOrder,1714114685.626163,442273,0,1
1,NewOrder,1714114686.068449,964321,0,1
2,Payment,1714114687.032782,165479,0,1
1,NewOrder,1714114687.198274,764495,0,1
2,Payment,1714114687.962782,163690,0,1
2,Payment,1714114688.126485,158291,0,1
1,NewOrder,1714114688.284788,512724,0,1
1,NewOrder,1714114688.797525,444624,0,1
1,NewOrder,1714114689.242161,549323,0,1
3,OrderStatus,1714114689.791497,86757,0,1
1,NewOrder,1714114689.878266,713608,0,1
5,StockLevel,1714114690.591886,76663,0,1
1,NewOrder,1714114690.668562,559758,0,1
1,NewOrder,1714114691.228332,513270,0,1
1,NewOrder,1714114691.741615,987776,0,1
2,Payment,1714114692.729404,160356,0,1
2,Payment,1714114692.889772,158281,0,1
2,Payment,1714114693.048066,159878,0,1
1,NewOrder,1714114693.207957,931468,0,1
1,NewOrder,1714114694.139438,707417,0,1
