Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
98,188,5.301,1.124,2.211,2.978,7.871,10.117,11.684,17.836,18.027,0.189
99,201,4.963,1.081,2.19,2.457,7.709,9.824,10.152,17.145,17.954,0.201
100,186,5.413,1.013,2.221,2.628,8.164,10.22,10.838,17.887,17.963,0.185
101,173,5.827,1.175,2.285,2.805,9.359,11.109,17.574,19.324,28.472,0.172
102,176,5.587,1.069,2.282,3.373,9.04,10.559,11.542,18.836,19.461,0.179
103,185,5.441,1.185,2.21,2.884,8.516,10.873,12.034,18.583,18.851,0.184
104,189,5.227,1.038,2.296,2.628,7.947,10.25,11.022,18.459,18.659,0.191
105,189,5.294,1.059,2.283,2.514,8.032,10.75,11.443,18.888,18.951,0.189
106,172,5.796,1.296,2.419,5.412,9.043,10.92,12.009,19.101,19.12,0.173
107,169,5.927,1.23,2.509,2.928,8.746,11.245,12.694,20.015,20.981,0.169
108,171,5.817,1.089,2.402,2.747,8.879,10.903,18.672,19.579,19.642,0.172
109,192,5.196,1.097,2.247,2.844,8.082,10.053,11.332,17.9,18.415,0.192
110,198,5.076,1.03,2.254,2.405,8.603,10.037,10.611,17.529,17.747,0.197
111,105,9.504,1.134,2.313,6.547,9.45,10.427,11.046,20.088,347.841,0.105
112,167,5.94,1.101,2.232,5.454,8.581,10.595,17.275,18.251,18.287,0.168
113,180,5.561,1.074,2.302,2.618,8.372,11.007,12.509,18.539,18.781,0.18
114,169,5.89,1.158,2.371,5.675,8.689,10.794,11.545,18.45,19.844,0.17
115,196,5.099,1.133,2.244,2.602,7.845,9.976,11.076,18.24,18.348,0.196
116,206,4.904,0.854,1.841,4.231,7.061,8.852,14.446,15.174,17.701,0.204
117,188,5.262,1.009,2.211,2.723,8.03,9.87,10.912,17.544,21.635,0.19
118,179,5.603,1.09,2.298,3.274,8.7,10.746,11.496,18.604,18.62,0.178
119,175,5.684,1.096,2.319,2.614,8.471,10.899,18.366,18.943,19.323,0.176
120,171,5.864,1.289,2.373,5.339,8.444,10.678,11.493,19.324,19.527,0.171
121,163,6.109,1.181,2.399,2.736,9.026,11.457,19.143,20.042,22.636,0.164
122,168,5.937,1.089,2.323,5.715,8.818,10.642,12.138,18.469,19.672,0.168
123,169,5.902,1.149,2.3,3.166,8.136,11.193,18.161,19.141,19.71,0.169
124,202,4.966,0.993,2.131,2.334,7.12,9.891,11.228,17.648,19.77,0.201
125,177,5.592,1.107,2.245,3.91,8.486,10.768,11.283,18.374,27.213,0.179
126,37,35.922,1.32,2.21,2.264,8.941,10.371,17.398,1157.481,1157.481,0.028
127,113,5.926,1.247,2.251,5.385,9.092,10.96,17.224,17.817,18.497,0.169
128,183,5.496,1.11,2.261,2.628,8.602,10.451,10.839,18.029,18.139,0.182
