Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
109,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,1,1.000,524254,524254,524254,524254,524254,524254,524254,524254,524254
111,1,1.000,796771,796771,796771,796771,796771,796771,796771,796771,796771
112,4,4.000,173696,174823,175357,396012,1060172,1060172,1060172,1060172,1060172
113,1,1.000,564669,564669,564669,564669,564669,564669,564669,564669,564669
114,2,2.000,178381,178381,645136,411758,645136,645136,645136,645136,645136
115,3,3.000,73958,73958,166215,431007,1052849,1052849,1052849,1052849,1052849
116,1,1.000,943818,943818,943818,943818,943818,943818,943818,943818,943818
117,4,4.000,179079,195964,196506,403459,1042288,1042288,1042288,1042288,1042288
118,2,2.000,62768,62768,192017,127392,192017,192017,192017,192017,192017
119,7,7.000,57417,58351,177316,203604,181485,701313,701313,701313,701313
120,1,1.000,879132,879132,879132,879132,879132,879132,879132,879132,879132
121,1,1.000,658630,658630,658630,658630,658630,658630,658630,658630,658630
122,2,2.000,183826,183826,733979,458902,733979,733979,733979,733979,733979
123,4,4.000,56974,168920,180616,293627,767999,767999,767999,767999,767999
124,2,2.000,175260,175260,988963,582111,988963,988963,988963,988963,988963
125,1,1.000,890576,890576,890576,890576,890576,890576,890576,890576,890576
126,2,2.000,211049,211049,804600,507824,804600,804600,804600,804600,804600
127,2,2.000,161805,161805,600321,381063,600321,600321,600321,600321,600321
128,2,2.000,763618,763618,912894,838256,912894,912894,912894,912894,912894
129,2,2.000,177805,177805,883807,530806,883807,883807,883807,883807,883807
130,2,2.000,175684,175684,179219,177451,179219,179219,179219,179219,179219
131,2,2.000,59257,59257,2184737,1121997,2184737,2184737,2184737,2184737,2184737
132,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,2,2.000,462158,462158,832703,647430,832703,832703,832703,832703,832703
134,3,3.000,94439,94439,178212,153308,187274,187274,187274,187274,187274
135,2,2.000,177289,177289,999437,588363,999437,999437,999437,999437,999437
136,3,3.000,165374,165374,186339,271301,462192,462192,462192,462192,462192
137,6,6.000,54803,172414,183751,251709,190190,736567,736567,736567,736567
138,3,3.000,174661,174661,177393,177979,181885,181885,181885,181885,181885
139,2,2.000,186272,186272,878001,532136,878001,878001,878001,878001,878001
140,2,2.000,428219,428219,817147,622683,817147,817147,817147,817147,817147
141,2,2.000,162218,162218,1013459,587838,1013459,1013459,1013459,1013459,1013459
142,3,3.000,56662,56662,174243,138101,183399,183399,183399,183399,183399
143,2,2.000,546840,546840,610382,578611,610382,610382,610382,610382,610382
144,2,2.000,203607,203607,1013795,608701,1013795,1013795,1013795,1013795,1013795
145,2,2.000,168716,168716,995498,582107,995498,995498,995498,995498,995498
146,1,1.000,867359,867359,867359,867359,867359,867359,867359,867359,867359
147,1,1.000,880112,880112,880112,880112,880112,880112,880112,880112,880112
148,4,4.000,64129,173664,190074,230349,493531,493531,493531,493531,493531
149,2,2.000,559330,559330,978482,768906,978482,978482,978482,978482,978482
150,1,1.000,775841,775841,775841,775841,775841,775841,775841,775841,775841
151,2,2.000,177018,177018,449591,313304,449591,449591,449591,449591,449591
152,1,1.000,866083,866083,866083,866083,866083,866083,866083,866083,866083
153,3,3.000,173172,173172,209281,329256,605317,605317,605317,605317,605317
154,1,1.000,1678128,1678128,1678128,1678128,1678128,1678128,1678128,1678128,1678128
155,2,2.000,168900,168900,179410,174155,179410,179410,179410,179410,179410
156,4,4.000,54771,169901,189642,256225,610589,610589,610589,610589,610589
157,2,2.000,434161,434161,725275,579718,725275,725275,725275,725275,725275
158,3,3.000,182309,182309,183105,268920,441347,441347,441347,441347,441347
159,2,2.000,184374,184374,923022,553698,923022,923022,923022,923022,923022
160,5,5.000,70228,178913,182475,303598,186480,899894,899894,899894,899894
161,2,2.000,170643,170643,182320,176481,182320,182320,182320,182320,182320
