Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
187,6,6.000,42055,149164,220074,189247,280039,288661,288661,288661,288661
188,5,5.000,144412,161646,167498,199895,173494,352429,352429,352429,352429
189,6,6.000,13609,125505,149677,143143,163336,269440,269440,269440,269440
190,4,4.000,128899,284372,290220,362962,748359,748359,748359,748359,748359
191,3,3.000,141820,141820,223119,207512,257599,257599,257599,257599,257599
192,6,6.000,38947,161663,239747,192800,243129,269147,269147,269147,269147
193,5,5.000,83056,147854,156810,159658,182099,228471,228471,228471,228471
194,5,5.000,109356,148675,155900,194287,262130,295374,295374,295374,295374
195,6,6.000,133330,137651,147889,245398,275273,633008,633008,633008,633008
196,3,3.000,143656,143656,162834,182093,239791,239791,239791,239791,239791
197,7,7.000,13940,134632,166761,162486,240686,258406,258406,258406,258406
198,4,4.000,127545,164298,288989,223849,314566,314566,314566,314566,314566
199,6,6.000,118901,136049,202836,191128,256486,258988,258988,258988,258988
200,4,4.000,126761,219374,271760,228333,295437,295437,295437,295437,295437
201,5,5.000,40553,110749,227441,192421,273966,309397,309397,309397,309397
202,5,5.000,140653,161661,182429,204385,245507,291677,291677,291677,291677
203,7,7.000,10116,99862,136003,170155,310686,339970,339970,339970,339970
204,5,5.000,72357,132016,137626,144683,161611,219808,219808,219808,219808
205,6,6.000,123947,127646,143668,167194,229858,249051,249051,249051,249051
206,6,6.000,13663,42129,211685,163235,251693,255677,255677,255677,255677
207,6,6.000,144411,148359,160763,175199,177545,270726,270726,270726,270726
208,4,4.000,125402,290610,291663,250621,294810,294810,294810,294810,294810
209,4,4.000,204696,261000,279741,260446,296349,296349,296349,296349,296349
210,6,6.000,43587,118534,155523,163370,208264,298833,298833,298833,298833
211,5,5.000,113011,173391,199264,191792,221041,252257,252257,252257,252257
212,5,5.000,113471,143705,157194,204738,297843,311478,311478,311478,311478
213,5,5.000,123844,158961,238726,223973,283225,315110,315110,315110,315110
214,3,3.000,261660,261660,274512,279930,303619,303619,303619,303619,303619
215,3,3.000,260789,260789,445378,414073,536054,536054,536054,536054,536054
216,3,3.000,9455,9455,224102,251590,521215,521215,521215,521215,521215
217,4,4.000,107580,182463,271993,305145,658547,658547,658547,658547,658547
218,6,6.000,9242,115271,125731,134038,192229,243172,243172,243172,243172
219,7,7.000,41000,119539,142224,144556,204530,229228,229228,229228,229228
220,3,3.000,143602,143602,296780,355882,627264,627264,627264,627264,627264
221,5,5.000,44522,202778,205995,204357,275110,293380,293380,293380,293380
222,5,5.000,112097,125603,201079,190316,232091,280710,280710,280710,280710
223,5,5.000,115822,141841,162609,197975,256055,313551,313551,313551,313551
224,5,5.000,122969,152304,161648,183432,194458,285782,285782,285782,285782
225,5,5.000,119496,133689,151256,278995,239032,751506,751506,751506,751506
226,5,5.000,9116,164686,182649,161734,189764,262456,262456,262456,262456
227,4,4.000,142241,163200,174597,202660,330602,330602,330602,330602,330602
228,6,6.000,119368,153891,169215,173566,179553,261878,261878,261878,261878
229,5,5.000,133420,193018,232035,218395,243758,289747,289747,289747,289747
230,2,2.000,319247,319247,748026,533636,748026,748026,748026,748026,748026
231,4,4.000,161489,234272,236956,235207,308114,308114,308114,308114,308114
232,4,4.000,163704,174930,241303,232103,348477,348477,348477,348477,348477
233,5,5.000,145817,153411,181219,190043,197161,272607,272607,272607,272607
234,6,6.000,122541,124165,229352,255412,278495,633728,633728,633728,633728
235,4,4.000,123113,125865,143621,148017,199471,199471,199471,199471,199471
236,5,5.000,112258,119536,184325,176666,202069,265144,265144,265144,265144
237,5,5.000,113689,125457,207586,194420,233651,291720,291720,291720,291720
238,6,6.000,121611,126858,182080,165428,190833,240906,240906,240906,240906
239,6,6.000,90630,101767,218141,178626,237835,310670,310670,310670,310670
240,5,5.000,108336,124798,200139,183305,230482,252773,252773,252773,252773
241,6,6.000,118428,129612,185580,167354,214064,221588,221588,221588,221588
242,7,7.000,41630,110469,143744,156371,244680,286698,286698,286698,286698
243,2,2.000,312207,312207,725116,518661,725116,725116,725116,725116,725116
244,6,6.000,9120,153703,193269,193492,317104,328282,328282,328282,328282
245,4,4.000,149328,161608,173777,199073,311581,311581,311581,311581,311581
246,6,6.000,13118,151198,154102,163530,242111,267745,267745,267745,267745
247,6,6.000,154156,161670,175536,179594,183459,231337,231337,231337,231337
248,5,5.000,137241,149337,174690,217692,292534,334662,334662,334662,334662
249,4,4.000,156164,234225,239018,231630,297114,297114,297114,297114,297114
250,5,5.000,153345,160988,167034,176301,173999,226139,226139,226139,226139
251,6,6.000,9305,152527,185255,175576,231062,317316,317316,317316,317316
252,6,6.000,9113,160904,167497,167225,190050,311396,311396,311396,311396
253,5,5.000,146284,147954,202103,227943,312978,330399,330399,330399,330399
254,6,6.000,10682,129219,179494,165007,225286,294417,294417,294417,294417
255,5,5.000,113487,162523,188557,183400,188915,263522,263522,263522,263522
256,5,5.000,52137,100100,153838,170005,257504,286450,286450,286450,286450
257,4,4.000,122119,131578,137692,257434,638349,638349,638349,638349,638349
258,4,4.000,113408,127881,225470,275999,637239,637239,637239,637239,637239
259,7,7.000,11767,12405,123239,130197,244817,255737,255737,255737,255737
260,6,6.000,107413,113688,187587,169947,197871,239121,239121,239121,239121
261,5,5.000,110893,119769,146370,194485,269544,325851,325851,325851,325851
262,7,7.000,103910,113798,120952,152946,219269,265189,265189,265189,265189
263,4,4.000,175842,179448,201367,326336,748688,748688,748688,748688,748688
264,3,3.000,157773,157773,173521,224557,342377,342377,342377,342377,342377
