Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
132,3,3.000,147385,147385,174538,278509,513604,513604,513604,513604,513604
133,1,1.000,995370,995370,995370,995370,995370,995370,995370,995370,995370
134,3,3.000,149878,149878,176690,276743,503661,503661,503661,503661,503661
135,3,3.000,150472,150472,159286,545250,1325994,1325994,1325994,1325994,1325994
136,1,1.000,508718,508718,508718,508718,508718,508718,508718,508718,508718
137,3,3.000,85272,85272,146203,409195,996112,996112,996112,996112,996112
138,1,1.000,543964,543964,543964,543964,543964,543964,543964,543964,543964
139,2,2.000,77582,77582,988042,532812,988042,988042,988042,988042,988042
140,3,3.000,145308,145308,523437,475228,756941,756941,756941,756941,756941
141,3,3.000,145774,145774,146940,419418,965540,965540,965540,965540,965540
142,1,1.000,928439,928439,928439,928439,928439,928439,928439,928439,928439
143,2,2.000,72029,72029,984772,528400,984772,984772,984772,984772,984772
144,1,1.000,729689,729689,729689,729689,729689,729689,729689,729689,729689
145,1,1.000,933913,933913,933913,933913,933913,933913,933913,933913,933913
146,1,1.000,829714,829714,829714,829714,829714,829714,829714,829714,829714
147,1,1.000,1032206,1032206,1032206,1032206,1032206,1032206,1032206,1032206,1032206
148,1,1.000,1014627,1014627,1014627,1014627,1014627,1014627,1014627,1014627,1014627
149,1,1.000,982423,982423,982423,982423,982423,982423,982423,982423,982423
150,1,1.000,856694,856694,856694,856694,856694,856694,856694,856694,856694
151,1,1.000,985606,985606,985606,985606,985606,985606,985606,985606,985606
152,3,3.000,145296,145296,145931,375569,835480,835480,835480,835480,835480
153,2,2.000,557620,557620,997383,777501,997383,997383,997383,997383,997383
154,2,2.000,75290,75290,145517,110403,145517,145517,145517,145517,145517
155,5,5.000,70867,145048,147867,292552,548632,550348,550348,550348,550348
156,1,1.000,798900,798900,798900,798900,798900,798900,798900,798900,798900
157,4,4.000,145641,146002,156933,303725,766327,766327,766327,766327,766327
158,2,2.000,159369,159369,937062,548215,937062,937062,937062,937062,937062
