Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1713964866.958074,907319,0,1
5,StockLevel,1713964867.865425,151698,0,1
1,NewOrder,1713964868.017155,637191,0,1
1,NewOrder,1713964868.654375,521268,0,1
1,NewOrder,1713964869.175672,721013,0,1
1,NewOrder,1713964869.896714,896100,0,1
1,NewOrder,1713964870.792844,542166,0,1
1,NewOrder,1713964871.335325,573901,0,1
1,NewOrder,1713964871.909255,509383,0,1
2,Payment,1713964872.418668,164485,0,1
2,Payment,1713964872.583181,164972,0,1
2,Payment,1713964872.748183,191123,0,1
1,NewOrder,1713964872.939335,731111,0,1
1,NewOrder,1713964873.670475,842224,0,1
2,Payment,1713964874.512729,178829,0,1
2,Payment,1713964874.691586,176471,0,1
2,Payment,1713964874.868089,193288,0,1
4,Delivery,1713964875.061408,1416229,0,1
2,Payment,1713964876.477670,175780,0,1
2,Payment,1713964876.653499,177571,0,1
2,Payment,1713964876.831102,204751,0,1
2,Payment,1713964877.035884,177552,0,1
5,StockLevel,1713964877.213468,123545,0,1
3,OrderStatus,1713964877.337073,88045,0,1
2,Payment,1713964877.425152,162659,0,1
2,Payment,1713964877.587842,175320,0,1
1,NewOrder,1713964877.763215,679190,0,1
1,NewOrder,1713964878.442460,642785,0,1
2,Payment,1713964879.085272,163618,0,1
2,Payment,1713964879.248920,164278,0,1
2,Payment,1713964879.413229,162933,0,1
1,NewOrder,1713964879.576191,676888,0,1
1,NewOrder,1713964880.253109,1030312,0,1
1,NewOrder,1713964881.283450,514157,0,1
2,Payment,1713964881.797638,165742,0,1
4,Delivery,1713964881.963410,1369487,0,1
2,Payment,1713964883.332955,191296,0,1
1,NewOrder,1713964883.524304,828934,0,1
1,NewOrder,1713964884.353267,441410,0,1
1,NewOrder,1713964884.794705,448433,0,1
1,NewOrder,1713964885.243167,934190,0,1
1,NewOrder,1713964886.177387,1020888,0,1
2,Payment,1713964887.198304,176533,0,1
1,NewOrder,1713964887.374866,455128,0,1
1,NewOrder,1713964887.830024,878000,0,1
1,NewOrder,1713964888.708053,855816,0,1
2,Payment,1713964889.563897,174196,0,1
2,Payment,1713964889.738123,162111,0,1
4,Delivery,1713964889.900262,1374815,0,1
2,Payment,1713964891.275106,177535,0,1
2,Payment,1713964891.452670,163371,0,1
1,NewOrder,1713964891.616070,724757,0,1
1,NewOrder,1713964892.340856,929580,0,1
4,Delivery,1713964893.270488,1377811,0,1
2,Payment,1713964894.648372,203292,0,1
1,NewOrder,1713964894.851692,453157,0,1
2,Payment,1713964895.304877,165088,0,1
2,Payment,1713964895.469993,206078,0,1
2,Payment,1713964895.676099,167191,0,1
2,Payment,1713964895.843318,178557,0,1
5,StockLevel,1713964896.021904,98345,0,1
2,Payment,1713964896.120277,190677,0,1
2,Payment,1713964896.310982,166528,0,1
2,Payment,1713964896.477537,163994,0,1
2,Payment,1713964896.641560,163807,0,1
1,NewOrder,1713964896.805395,895836,0,1
2,Payment,1713964897.701260,177587,0,1
2,Payment,1713964897.878876,164527,0,1
1,NewOrder,1713964898.043453,558769,0,1
2,Payment,1713964898.602252,178773,0,1
2,Payment,1713964898.781052,198336,0,1
1,NewOrder,1713964898.979453,887841,0,1
1,NewOrder,1713964899.867389,669663,0,1
2,Payment,1713964900.537105,163873,0,1
1,NewOrder,1713964900.700992,778934,0,1
1,NewOrder,1713964901.479940,735485,0,1
2,Payment,1713964902.215440,166328,0,1
